date,symbol,last_close,predicted_close,actual_close,hit,name
2026-02-26,005930.KS,203500.0,38107.89921865548,218000.0,False,삼성전자
2026-02-26,000660.KS,1018000.0,251592.92550551984,1099000.0,False,SK하이닉스
2026-02-26,005380.KS,572000.0,177018.75769089535,609000.0,False,현대자동차
2026-02-26,TSLA,409.3800048828125,407.7881815555775,408.5799865722656,True,테슬라
2026-02-26,NVDA,192.8500061035156,188.3147540472856,184.88999938964844,True,엔비디아
2026-02-26,AAPL,272.1400146484375,262.7198399132112,272.95001220703125,False,애플
2026-02-26,GOOGL,310.8999938964844,296.1517220873593,307.3800048828125,True,알파벳(구글)
2026-02-26,MSFT,389.0,417.0867125059594,401.7200012207031,True,마이크로소프트
2026-02-26,SPY,687.3499755859375,679.5247465887223,689.2999877929688,False,S&P 500 ETF
2026-02-26,VOO,632.2100219726562,627.3335375301849,633.9500122070312,False,Vanguard S&P 500
2026-02-28,NVDA,184.88999938964844,190.15057943543525,177.19000244140625,False,엔비디아
2026-02-28,MSFT,401.7200012207031,418.9041708628111,392.739990234375,False,마이크로소프트
2026-02-28,TSLA,408.5799865722656,412.6107222446735,402.510009765625,False,테슬라
2026-02-28,SPY,689.2999877929688,682.7010606724543,685.989990234375,True,S&P 500 ETF
2026-02-28,VOO,633.9500122070312,628.9118612608218,631.0399780273438,True,Vanguard S&P 500
2026-02-28,005930.KS,216500.0,62720.00622043288,216500.0,True,삼성전자
2026-02-28,000660.KS,1061000.0,200391.5504628824,1061000.0,True,SK하이닉스
2026-02-28,005380.KS,674000.0,98776.05563637686,674000.0,True,현대자동차
2026-02-28,AAPL,272.95001220703125,266.03456118690883,264.17999267578125,True,애플
2026-02-28,GOOGL,307.3800048828125,300.2732125445964,311.760009765625,False,알파벳(구글)
2026-03-03,TSLA,402.510009765625,411.18843090620703,392.4299926757813,False,테슬라
2026-03-03,NVDA,177.19000244140625,187.1369890674441,180.0500030517578,True,엔비디아
2026-03-03,MSFT,392.739990234375,418.09416637083547,403.9299926757813,True,마이크로소프트
2026-03-03,AAPL,264.17999267578125,266.0796996599047,263.75,False,애플
2026-03-03,SPY,685.989990234375,682.7937588367349,680.3300170898438,True,SPDR S&P 500 ETF Trust
2026-03-03,VOO,631.0399780273438,628.5048137856211,625.719970703125,True,Vanguard S&P 500 ETF
2026-03-03,005930.KS,216500.0,61441.44340915927,195100.0,True,삼성전자
2026-03-03,000660.KS,1061000.0,44720.29501742101,939000.0,True,SK하이닉스
2026-03-03,005380.KS,674000.0,131882.2373515187,595000.0,True,현대자동차
2026-03-03,GOOGL,311.760009765625,301.4656062877639,303.5799865722656,True,알파벳(구글)
2026-03-05,005930.KS,172200.0,203341.94010790787,191600.0,True,삼성전자
2026-03-05,000660.KS,849000.0,1006927.1461198172,941000.0,True,SK하이닉스
2026-03-05,005380.KS,501000.0,584876.7371766921,548000.0,True,현대자동차
2026-03-05,GOOGL,303.5799865722656,308.0105563323632,300.8800048828125,False,알파벳(구글)
2026-03-05,TSLA,392.4299926757813,394.4394970485646,405.54998779296875,True,테슬라
2026-03-05,AAPL,263.75,264.1010209840424,260.2900085449219,False,애플
2026-03-05,SPY,680.3300170898438,684.2101140824998,681.3099975585938,True,SPDR S&P 500 ETF Trust
2026-03-05,VOO,625.719970703125,627.8916370789066,626.8099975585938,True,Vanguard S&P 500 ETF
2026-03-05,NVDA,180.0500030517578,176.8805882366537,183.33999633789062,False,엔비디아
2026-03-05,MSFT,403.9299926757813,393.8759847252223,410.67999267578125,False,마이크로소프트
