Date,symbol,name,open,high,low,close,volume,vix,rsi,ma5,ma20,earnings_dday
2025-03-31,005930.KS,삼성전자,58589.778837316175,58786.71927038279,56915.78515625,56915.78515625,17633494,22.280000686645508,64.14810455456647,59066.2109375,56085.34453125,0
2025-04-01,005930.KS,삼성전자,57802.01806308461,58688.25002657313,57014.25631776148,57900.48828125,13841706,21.770000457763672,63.47927308520057,58938.828125,56312.90390625,0
2025-04-02,005930.KS,삼성전자,57900.48828125,58491.309590242345,57408.13719042304,57900.48828125,14402297,21.510000228881836,64.29505337456868,58498.2015625,56564.9353515625,0
2025-04-03,005930.KS,삼성전자,56029.55224609375,56915.7841796875,56029.55224609375,56718.84375,19508076,30.020000457763672,59.666899232627514,57742.93515625,56743.201171875,0
2025-04-04,005930.KS,삼성전자,55340.25927473262,57309.66351938503,54847.90821356952,55241.7890625,23527139,45.310001373291016,46.20675106142155,56935.47890625,56876.980859375,0
2025-04-07,005930.KS,삼성전자,52484.62255492246,53272.384244302164,52287.68213257754,52386.15234375,31998883,46.97999954223633,38.83917792497312,56029.55234375,56867.9787109375,0
2025-04-08,005930.KS,삼성전자,54158.615654205605,54454.026285046726,52484.62207943925,52681.5625,25532845,52.33000183105469,36.7717973197298,54985.7671875,56878.64140625,0
2025-04-09,005930.KS,삼성전자,52484.62549380896,53469.32766067217,52090.74462706368,52189.21484375,20576960,33.619998931884766,29.13673083824834,53843.5125,56801.0591796875,0
2025-04-10,005930.KS,삼성전자,55734.14356161348,55832.61377992021,54158.62006870568,55537.203125,22948172,40.720001220703125,36.523604415715354,53607.184375,56900.6650390625,0
2025-04-11,005930.KS,삼성전자,54749.439453125,54847.90966796875,53961.677734375,54355.55859375,13930480,37.560001373291016,36.50947089782101,53429.93828125,56941.188671875,0
2025-04-14,005930.KS,삼성전자,55438.7319353314,55832.61280165703,54946.38085242437,55340.26171875,12852613,30.889999389648438,41.28288562783996,54020.76015625,56889.0091796875,0
2025-04-15,005930.KS,삼성전자,55438.72610009938,56226.48774983436,55340.25589388251,55734.13671875,8998640,30.1200008392334,37.272817468444536,54631.275,56856.5234375,0
2025-04-16,005930.KS,삼성전자,55143.32381170018,55340.26425388482,53666.27049531535,53863.2109375,14437025,32.63999938964844,32.21547459850335,54966.07421875,56686.44140625,0
2025-04-17,005930.KS,삼성전자,53863.208973740926,54454.03027875454,53666.26853873639,54257.08984375,10867069,29.649999618530273,35.91159470253773,54710.0515625,56452.848046875,0
2025-04-18,005930.KS,삼성전자,54454.0234375,54749.43405289331,54060.14261697559,54454.0234375,5848342,29.649999618530273,42.13833543697592,54729.74453125,56155.6849609375,0
2025-04-21,005930.KS,삼성전자,54355.55956678701,55143.32129963899,54257.089350180504,54552.5,5941847,33.81999969482422,38.666653619845064,54572.1921875,55922.17890625,0
2025-04-22,005930.KS,삼성전자,54060.14307528409,54650.964311079544,53863.20266335227,54158.61328125,9532469,30.56999969482422,37.662309561246424,54257.0875,55703.239453125,0
2025-04-23,005930.KS,삼성전자,55143.32080341113,55241.79101913151,54650.96972480925,54847.91015625,11148692,28.450000762939453,43.62416125250829,54454.02734375,55440.45390625,0
2025-04-24,005930.KS,삼성전자,54749.43994052962,54946.38037197038,54355.55907764811,54847.91015625,10580377,26.469999313354492,48.50746953525556,54572.19140625,55158.090625,0
2025-04-25,005930.KS,삼성전자,55537.20166629264,55537.20166629264,54749.43994052962,54847.91015625,12183303,24.84000015258789,61.90477989540885,54650.96875,54936.5326171875,0
2025-04-28,005930.KS,삼성전자,54946.37890625,55044.849119343635,54650.96826696909,54946.37890625,9341518,25.149999618530273,61.165062752723806,54729.74453125,54838.0623046875,0
2025-04-29,005930.KS,삼성전자,54847.908693156365,55635.670397905466,54749.43848006272,54946.37890625,10295518,24.170000076293945,64.28570850300758,54887.29765625,54690.3568359375,0
2025-04-30,005930.KS,삼성전자,55044.84960585585,55143.319819819815,54454.02832207207,54650.96875,13014189,24.700000762939453,43.2835591133005,54847.909375,54527.880859375,0
2025-05-02,005930.KS,삼성전자,54158.61569118324,54650.96674292127,53370.85400840239,53469.32421875,22454204,22.68000030517578,43.2835591133005,54572.1921875,54365.4048828125,0
2025-05-07,005930.KS,삼성전자,53666.26416552198,54158.61521291209,53469.32374656593,53764.734375,17136991,23.549999237060547,36.66662038570553,54355.55703125,54291.5521484375,0
2025-05-08,005930.KS,삼성전자,54257.08542239011,54650.96626030219,53666.26416552198,53764.734375,16320532,22.479999542236328,32.14287485239103,54119.228125,54360.48125,0
2025-05-09,005930.KS,삼성전자,53863.20556997035,54158.61620380931,53567.79493613139,53961.67578125,7814322,21.899999618530273,51.281978255142505,53922.2875,54424.4869140625,0
2025-05-12,005930.KS,삼성전자,54355.55859375,56718.84375,54158.6181640625,56718.84375,15414702,18.389999389648438,69.84121586947172,54335.8625,54650.968359375,0
2025-05-13,005930.KS,삼성전자,56817.31247940465,57309.66354075132,55931.080568980666,56029.55078125,16842801,18.219999313354492,61.76469730336751,54847.9078125,54675.5857421875,0
2025-05-14,005930.KS,삼성전자,56620.37255689242,57014.25340946211,56128.02149118031,56521.90234375,12468089,18.6200008392334,63.88884450583386,55399.34140625,54783.9029296875,0
2025-05-15,005930.KS,삼성전자,56521.903809445896,57703.54639779669,56226.4931623582,56423.43359375,13139736,17.829999923706055,66.6666858305833,55931.08125,54838.0615234375,0
2025-05-16,005930.KS,삼성전자,56521.9033203125,56620.37353515625,55832.61181640625,55931.08203125,10385352,17.239999771118164,58.208947270572104,56324.9625,54847.9087890625,0
2025-05-19,005930.KS,삼성전자,55537.20018481183,55537.20018481183,54650.96826696909,54946.37890625,9802105,18.139999389648438,50.64934061325697,55970.46953125,54902.0671875,0
2025-05-20,005930.KS,삼성전자,55340.258287678895,55832.60934006038,54847.9072352974,55044.84765625,9080577,18.09000015258789,51.28203172123236,55773.52890625,54941.455078125,0
2025-05-21,005930.KS,삼성전자,55340.26123485188,55734.14209773339,54847.91015625,54847.91015625,7794181,20.8700008392334,49.367098141968064,55438.73046875,54961.1494140625,0
2025-05-22,005930.KS,삼성전자,54454.03226405393,54650.97270623857,53666.27049531535,53863.2109375,15254278,20.280000686645508,43.82024875810381,54926.6859375,54926.6849609375,0
2025-05-23,005930.KS,삼성전자,54158.61320917897,54355.55362084871,53272.38135666513,53370.8515625,11247115,22.290000915527344,42.857124174572924,54414.63984375,54887.296875,0
2025-05-26,005930.KS,삼성전자,53075.44916876143,54158.62160077696,52878.50872657678,53863.2109375,10901337,22.290000915527344,52.38098386451615,54198.00625,54838.0619140625,0
2025-05-27,005930.KS,삼성전자,53370.85595431354,53666.26659612708,52976.97509856215,53075.4453125,13439520,18.959999084472656,46.06743776604043,53804.12578125,54749.438671875,0
2025-05-28,005930.KS,삼성전자,53469.32428862925,55241.7880772026,53370.85407815295,55044.84765625,17516283,19.309999465942383,55.96329607452296,53843.51328125,54759.285546875,0
2025-05-29,005930.KS,삼성전자,55340.25927473262,55537.19969919786,54749.4380013369,55241.7890625,12936810,19.18000030517578,55.96329607452296,54119.22890625,54774.0560546875,0
2025-05-30,005930.KS,삼성전자,55340.26171875,56324.96388456405,54946.38085242437,55340.26171875,26219683,18.56999969482422,41.463438232762854,54513.1109375,54793.7501953125,0
2025-06-02,005930.KS,삼성전자,55438.73095703125,56423.43310546875,55340.2607421875,55931.08203125,12870515,18.360000610351562,49.38272632796607,54926.68515625,54857.755859375,0
2025-06-04,005930.KS,삼성전자,56324.96385705018,57014.25537278331,55931.082990916955,56915.78515625,19649983,17.610000610351562,52.32558890440809,55694.753125,55030.07890625,0
2025-06-05,005930.KS,삼성전자,57211.192424122244,58983.65621695219,57014.252002696696,58195.89453125,23266027,18.479999542236328,59.183646208100306,56324.9625,55251.6369140625,0
2025-06-09,005930.KS,삼성전자,59476.008779264215,59476.008779264215,58589.77686036789,58885.1875,19609659,17.15999984741211,64.99997421495445,57053.6421875,55507.6595703125,0
2025-06-10,005930.KS,삼성전자,59082.12890625,59180.59912109375,57900.486328125,58294.3671875,15305760,16.950000762939453,67.70831654619181,57644.46328125,55724.294140625,0
2025-06-11,005930.KS,삼성전자,58589.77928709307,59180.600590828464,58491.30906980384,58983.66015625,13610734,17.260000228881836,69.6078339863211,58254.97890625,55837.5349609375,0
2025-06-12,005930.KS,삼성전자,58786.72169117647,59082.132352941175,58392.84080882353,58589.78125,17755115,18.020000457763672,68.26921719892817,58589.778125,55965.546484375,0
2025-06-13,005930.KS,삼성전자,59279.0668149657,59279.0668149657,56817.31154856347,57408.1328125,20705979,20.81999969482422,66.981064288906,58432.22578125,56009.8580078125,0
2025-06-16,005930.KS,삼성전자,57112.72262893357,57211.19284036277,56029.55030321242,56324.9609375,22200872,19.110000610351562,63.392851450515025,57920.18046875,56004.934375,0
2025-06-17,005930.KS,삼성전자,56915.78077936747,58885.18495858434,56521.8999435241,57211.19140625,28637003,21.600000381469727,64.65513497320438,57703.5453125,56068.93984375,0
2025-06-18,005930.KS,삼성전자,57112.723662207354,58885.1875,57014.25344899666,58885.1875,17620705,20.139999389648438,73.59998959076472,57683.85078125,56265.8802734375,0
2025-06-19,005930.KS,삼성전자,59574.47998046875,59672.9501953125,58097.4267578125,58294.3671875,16876278,20.139999389648438,64.86486872844768,57624.76796875,56428.35625,0
2025-06-20,005930.KS,삼성전자,58491.311029411765,58885.191911764705,58195.90036764706,58589.78125,18072251,20.6200008392334,65.17858281326372,57861.09765625,56615.4498046875,0
2025-06-23,005930.KS,삼성전자,57506.60350215517,57605.073713631464,56718.84181034483,57112.72265625,16551694,19.829999923706055,57.14283915223512,58018.65,56777.925390625,0
2025-06-24,005930.KS,삼성전자,58491.304261363635,59672.946771694216,58392.83405216942,59574.4765625,23737899,17.479999542236328,62.758599557837464,58491.30703125,57088.106640625,0
